id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
816452369318290199,Rental unit in Vienna · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,199654395,Lukas,,Dbling,48.23319219016898,16.35202332413622,Private room,59,2,48,2023-09-07,7.66,1,67,48,
816462299795166941,Rental unit in Vienna · ★4.13 · 2 bedrooms · 3 beds · 1 bath,88128342,Adam,,Margareten,48.18429652747192,16.36125752917024,Entire home/apt,108,1,16,2023-07-23,2.30,59,6,16,
809418856027721910,Rental unit in Vienna · ★4.68 · 1 bedroom · 2 beds · 1 bath,48789781,Tom,,Innere Stadt,48.210588453927706,16.370045106745906,Entire home/apt,120,2,25,2023-09-07,3.71,3,292,25,
816515438860601907,Rental unit in Vienna · ★4.89 · 1 bedroom · 1 bed · 1 bath,498852886,Stefanie,,Neubau,48.20137539484535,16.33972261259068,Entire home/apt,109,3,18,2023-08-29,5.29,2,296,18,
816617562245087900,Rental unit in Vienna · ★4.48 · 1 bedroom · 2 beds · 1 bath,450691128,Mario,,Favoriten,48.17677194649774,16.375530144049776,Entire home/apt,87,1,23,2023-08-31,3.73,101,346,23,
816692021000545235,Rental unit in Vienna · ★4.70 · 2 bedrooms · 2 beds · 1 bath,53178880,Yoiset Und Markus,,Brigittenau,48.23311,16.36579,Entire home/apt,99,1,20,2023-08-30,2.87,13,280,20,
810004026289228941,Rental unit in Vienna · ★5.0 · 1 bedroom · 3 beds · 1 bath,259724588,Ilian,,Simmering,48.175779700227466,16.402222641509884,Entire home/apt,232,2,7,2023-06-18,1.11,12,329,7,
810020255134751556,Rental unit in Vienna · ★4.84 · 1 bedroom · 2 beds · 1 shared bath,365379633,Finn,,Alsergrund,48.2297992,16.3508569,Private room,70,2,19,2023-08-01,2.65,1,278,19,
816718007706804650,Rental unit in Vienna · ★3.43 · 1 bedroom · 1 bed · 1 bath,208299199,Jafar,,Donaustadt,48.21686,16.47692,Entire home/apt,79,1,7,2023-08-13,2.76,1,273,7,
810073299328969787,Rental unit in Vienna · ★4.18 · 2 bedrooms · 3 beds · 1.5 baths,55083034,Ashkan,,Brigittenau,48.24384970866929,16.376196456463443,Entire home/apt,141,2,11,2023-08-10,2.05,1,113,11,
816740016853742721,Rental unit in Vienna · ★4.71 · 1 bedroom · 1 bed · 1 bath,498919652,Cristobal,,Leopoldstadt,48.22454,16.40212,Entire home/apt,101,2,34,2023-08-26,5.45,1,318,34,
816745741222615093,Rental unit in Vienna · ★1.67 · 3 bedrooms · 5 beds · 1.5 baths,156404033,Josef,,Landstra§e,48.19528648848745,16.38828426499702,Entire home/apt,149,1,3,2023-04-20,0.52,46,286,3,
816853401489752330,Rental unit in Vienna · 1 bedroom · 1 bed · 1 shared bath,27862374,Jp,,Wieden,48.1862363109222,16.374450919776173,Private room,15,28,0,,,2,9,0,
